backend,benchmark,problem,circuit_type,generation,candidate_id,strategy,source,score_from_run,ppa_score,area,power,eff_clk_period,ref_area,ref_power,ref_eff_clk_period,g_A,g_P,g_T,candidate_dir,report_path
classic_revolution_8x5,RTLLM,Prob001_accu,sequential,4,aac4e92a-eeae-4cc3-bfb5-11871a0c60ac,C-F,generation_log,0.144145836644,0.144145836644,225,0.0263,0.48,191,0.0468,0.58,-0.178010471204,0.438034188034,0.172413793103,,
classic_revolution_8x5,RTLLM,Prob002_adder_16bit,combinational,0,510c2aeb-3f87-43ec-801a-4baeadce6c55,initial,generation_log,0.351887750392,0.527831625588,86,6e-05,0,92,0.00628,0,0.0652173913043,0.990445859873,0,,
classic_revolution_8x5,RTLLM,Prob003_adder_32bit,combinational,0,9d899e4e-7118-470a-86ca-16c62db65609,initial,generation_log,0.557887684966,0.836831527449,137,7.97e-05,0,423,0.0324,0,0.676122931442,0.997540123457,0,,
classic_revolution_8x5,RTLLM,Prob004_adder_8bit,combinational,1,818df4bd-5deb-41a5-a3bb-28c24397ff4b,M-E,generation_log,0.381544128268,0.572316192402,39,2.27e-05,0,46,0.00301,0,0.152173913043,0.992458471761,0,,
classic_revolution_8x5,RTLLM,Prob005_adder_bcd,combinational,0,d773f0b4-2d85-48fc-bda6-16447567c6fc,initial,generation_log,0.396983075791,0.595474613687,36,4.1e-05,0,45,0.00453,0,0.2,0.990949227373,0,,
classic_revolution_8x5,RTLLM,Prob007_comparator_3bit,combinational,3,6d8a432c-89ea-4581-ac22-5b40076ed63a,M-I,generation_log,0.350069956627,0.52510493494,16,8.45e-06,0,17,0.000981,0,0.0588235294118,0.991386340469,0,,
classic_revolution_8x5,RTLLM,Prob008_comparator_4bit,combinational,1,3fa9e53e-f448-4024-b1ea-7e45badb992c,M-I,generation_log,0.442361111111,0.663541666667,22,1.25e-05,0,33,0.002,0,0.333333333333,0.99375,0,,
classic_revolution_8x5,RTLLM,Prob009_div_16bit,combinational,4,962bc17f-44f2-42b4-9fb3-74b7b7269d5a,M-I,generation_log,0.55803413071,0.837051196065,1480,0.099,0,6390,1.05,0,0.768388106416,0.905714285714,0,,
classic_revolution_8x5,RTLLM,Prob011_multi_16bit,sequential,3,6bb2ad8e-a811-4135-b5a1-5f69d59a076c,C-F,generation_log,0.315457897618,0.315457897618,1019,0.0933,0.67,1064,0.18,1.16,0.0422932330827,0.481666666667,0.422413793103,,
classic_revolution_8x5,RTLLM,Prob012_multi_8bit,combinational,1,a16bb3e5-0bb0-45b7-a78b-c65cc1c55ef9,M-S,generation_log,0.460781003025,0.691171504537,364,0.000613,0,596,0.0886,0,0.389261744966,0.993081264108,0,,
classic_revolution_8x5,RTLLM,Prob015_multi_pipe_8bit,sequential,0,af798b60-7da4-48b7-862f-ba07d7512db0,initial,generation_log,0.0527945329906,0.0527945329906,600,0.0874,1.03,980,0.0898,0.82,0.387755102041,0.0267260579065,-0.256097560976,,
classic_revolution_8x5,RTLLM,Prob019_sub_64bit,combinational,1,d2b3d835-58e1-45fe-a365-16c13a22c8f9,M-E,generation_log,0.482296392706,0.723444589059,340,0.000231,0,621,0.0412,0,0.452495974235,0.994393203883,0,,
classic_revolution_8x5,RTLLM,Prob020_JC_counter,sequential,0,40818d73-d592-483e-98da-9ef207c8d647,initial,generation_log,-0,0,340,0.0351,0.13,340,0.0351,0.13,0,0,0,,
classic_revolution_8x5,RTLLM,Prob021_counter_12,sequential,3,9bafc18a-0e94-4b44-acc3-b9d7155f826e,C-F,generation_log,0.184391759158,0.184391759158,43,0.00349,0.31,44,0.00963,0.28,0.0227272727273,0.63759086189,-0.107142857143,,
classic_revolution_8x5,RTLLM,Prob023_up_down_counter,sequential,1,f5aabe1b-bb44-4efa-8da4-0d4f3d6d9f2e,M-E,generation_log,0.215781357308,0.215781357308,199,0.0302,0.4,259,0.0358,0.54,0.23166023166,0.156424581006,0.259259259259,,
classic_revolution_8x5,RTLLM,Prob024_fsm,combinational,3,88d54ded-ca80-4f44-bd66-43f3374d49d5,M-I,generation_log,0.683497028464,0.595245542696,24,0.002,0.14,46,0.00695,0,0.478260869565,0.712230215827,-140000000000,,
classic_revolution_8x5,RTLLM,Prob025_sequence_detector,sequential,4,5f3fbd63-2bb6-4009-bacf-7bb867fe4d53,M-F,generation_log,0.362407306927,0.362407306927,25,0.00201,0.14,38,0.00388,0.19,0.342105263158,0.481958762887,0.263157894737,,
classic_revolution_8x5,RTLLM,Prob027_LIFObuffer,sequential,1,acfd51c1-3c50-45b5-917d-0c532fa09ada,C-F,generation_log,0.251153628865,0.251153628865,228,0.0278,0.32,299,0.0419,0.39,0.23745819398,0.336515513126,0.179487179487,,
classic_revolution_8x5,RTLLM,Prob030_right_shifter,sequential,0,eb89cb38-1e7c-4781-b2ec-a12bed09212a,initial,generation_log,-0,0,36,0.00369,0.12,36,0.00369,0.12,0,0,0,,
classic_revolution_8x5,RTLLM,Prob031_freq_div,combinational,2,fd16ecb7-db5a-426a-b6f7-24d971793d13,M-R,generation_log,0.209057128664,0.313585692996,101,0.000379,0,125,0.000671,0,0.192,0.435171385991,0,,
classic_revolution_8x5,RTLLM,Prob035_calendar,sequential,3,ff36fb99-184e-4f5d-b4fc-228264920699,M-I,generation_log,0.0462966171188,0.0462966171188,185,0.0117,0.37,196,0.0124,0.38,0.0561224489796,0.0564516129032,0.0263157894737,,
classic_revolution_8x5,RTLLM,Prob036_edge_detect,sequential,4,fb4554f2-8b0b-4dd1-9bf4-949842b90fc9,M-E,generation_log,-0.995880357539,0.964903956187,2,4.72e-08,0,19,0.00189,0.17,0.894736842105,0.999975026455,1,,
classic_revolution_8x5,RTLLM,Prob037_parallel2serial,sequential,3,f4c6452c-8e86-4655-ab8d-877ebd256589,C-F,generation_log,0.063250756275,0.063250756275,47,0.00411,0.26,50,0.00453,0.27,0.06,0.0927152317881,0.037037037037,,
classic_revolution_8x5,RTLLM,Prob038_pulse_detect,sequential,1,9be1d7b4-dcfb-41fd-b76a-2cba6b13808b,M-R,generation_log,0.278914464336,0.278914464336,13,0.00101,0.14,17,0.00138,0.21,0.235294117647,0.268115942029,0.333333333333,,
classic_revolution_8x5,RTLLM,Prob039_serial2parallel,sequential,0,8344a439-00da-4260-ae58-8780f0214724,initial,generation_log,-0.595961718021,-0.595961718021,207,0.0521,0.41,168,0.0238,0.3,-0.232142857143,-1.18907563025,-0.366666666667,,
classic_revolution_8x5,RTLLM,Prob041_traffic_light,combinational,2,f0a8a59c-b69a-41af-9348-214778ef854d,M-S,generation_log,0.407742072137,0.611613108206,130,0.000391,0,170,0.0324,0,0.235294117647,0.987932098765,0,,
classic_revolution_8x5,RTLLM,Prob043_RAM,sequential,1,17e012be-2ba8-4bce-ba0c-0b09aed2e04b,M-E,generation_log,0.444490104102,0.444490104102,481,0.0399,0.2,734,0.109,0.31,0.344686648501,0.633944954128,0.354838709677,,
classic_revolution_8x5,RTLLM,Prob044_ROM,combinational,0,13ca9a63-8db3-4df0-bd93-1a824d2ea8ce,initial,generation_log,0.329430894309,0.494146341463,14,2.4e-06,0,14,0.000205,0,0,0.988292682927,0,,
classic_revolution_8x5,RTLLM,Prob045_alu,combinational,0,c5427ea3-a34a-42ff-bae6-5266d4d916f6,initial,generation_log,0.408732176884,0.613098265326,1702,0.00101,0,2225,0.114,0,0.235056179775,0.991140350877,0,,
classic_revolution_8x5,RTLLM,Prob047_instr_reg,sequential,0,9360720e-4773-411a-930f-83496fefb1a2,initial,generation_log,-0.016372440449,-0.016372440449,123,0.0131,0.18,119,0.0129,0.18,-0.0336134453782,-0.015503875969,0,,
classic_revolution_8x5,RTLLM,Prob048_pe,sequential,1,8112c027-12c1-455c-9643-1af0579a92e1,M-R,generation_log,0.00651435662643,0.00651435662643,3463,0.432,1.6,3451,0.451,1.57,-0.00347725297015,0.0421286031042,-0.0191082802548,,
classic_revolution_8x5,RTLLM,Prob049_signal_generator,sequential,2,f26ecc2d-6757-46d1-a6e0-7a48a8bf2b4b,M-E,generation_log,0.259849383048,0.259849383048,54,0.00432,0.31,94,0.00467,0.43,0.425531914894,0.0749464668094,0.279069767442,,
classic_revolution_8x5,RTLLM,Prob050_square_wave,sequential,3,099de39f-e325-40b8-a0c7-a37d05277696,M-I,generation_log,0.192693271641,0.192693271641,102,0.0159,0.35,119,0.0247,0.38,0.142857142857,0.356275303644,0.0789473684211,,
random_hash_3d,RTLLM,Prob001_accu,sequential,5,ea3a0958-be55-48d6-adb4-76acb04b3004,C-F,generation_log,0.0889507141538,0.0889507141538,248,0.0268,0.5,191,0.0468,0.58,-0.298429319372,0.42735042735,0.137931034483,/workspace/exp/natural_qd_push/p3c_bd_sweep_20260704_093150_UTC/live/random_hash_3d/seed_1001/openai_gpt-oss-120b/RTLLM/Prob001_accu/Gen5/Prob001_accu_sample8_C-F,
