method_key,seed,benchmark,problem,descriptor_profile,cell_count,occupied_cell_count,passive_archive_coverage,passive_archive_qd_score,pareto_cell_count,unique_front_family_count,pareto_spread,passive_archive_qd_auc,passive_archive_coverage_auc,hv_auc,notes
classic_revolution_8x5,1001,RTLLM,Prob015_multi_pipe_8bit,rf_deepgate_hybrid_3d,64,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,0,descriptor_projection_missing
rf_deepgate_hybrid_delayed_8x5,1001,RTLLM,Prob015_multi_pipe_8bit,rf_deepgate_hybrid_3d,64,8,0.125,0.105589065981,3,not_available,0.209243768611,0.084471252785,0.0921875,0,canonical_netlist_dedup
classic_revolution_8x5,1001,RTLLM,Prob024_fsm,rf_deepgate_hybrid_3d,64,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,0.124225836722,descriptor_projection_missing
rf_deepgate_hybrid_delayed_8x5,1001,RTLLM,Prob024_fsm,rf_deepgate_hybrid_3d,64,7,0.109375,2.78687623814,2,not_available,0.249462684695,2.08668001251,0.084375,0.135439474507,canonical_netlist_dedup
classic_revolution_8x5,1001,RTLLM,Prob041_traffic_light,rf_deepgate_hybrid_3d,12,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,0.247459694989,descriptor_projection_missing
rf_deepgate_hybrid_delayed_8x5,1001,RTLLM,Prob041_traffic_light,rf_deepgate_hybrid_3d,12,6,0.5,1.96231602518,2,not_available,0.723008167273,1.53094082849,0.385416666667,0.164644916485,canonical_netlist_dedup
classic_revolution_8x5,1001,RTLLM,Prob045_alu,rf_deepgate_hybrid_3d,16,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,0.224868446679,descriptor_projection_missing
rf_deepgate_hybrid_delayed_8x5,1001,RTLLM,Prob045_alu,rf_deepgate_hybrid_3d,16,8,0.5,3.01731289835,2,not_available,0.00356887630202,2.22073151981,0.36875,0.156986650897,canonical_netlist_dedup
classic_revolution_8x5,1001,RTLLM,Prob049_signal_generator,rf_deepgate_hybrid_3d,16,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,0.0166726167764,descriptor_projection_missing
rf_deepgate_hybrid_delayed_8x5,1001,RTLLM,Prob049_signal_generator,rf_deepgate_hybrid_3d,16,2,0.125,0.44221240854,2,not_available,0.114007987181,0.338493551472,0.09375,0.00836792576149,canonical_netlist_dedup
classic_revolution_8x5,1001,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,rf_deepgate_hybrid_3d,16,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,0.378175751295,descriptor_projection_missing
rf_deepgate_hybrid_delayed_8x5,1001,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,rf_deepgate_hybrid_3d,16,7,0.4375,2.85094645941,2,not_available,0.0498860724672,2.18878799655,0.328125,0.398422797928,canonical_netlist_dedup
classic_revolution_8x5,1001,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,rf_deepgate_hybrid_3d,16,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,0,descriptor_projection_missing
rf_deepgate_hybrid_delayed_8x5,1001,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,rf_deepgate_hybrid_3d,16,3,0.1875,0.655904334828,1,not_available,0,0.655904334828,0.1875,0,canonical_netlist_dedup
classic_revolution_8x5,1001,VerilogEval-Spec-to-RTL,Prob153_gshare,rf_deepgate_hybrid_3d,64,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,0.000135258004425,descriptor_projection_missing
rf_deepgate_hybrid_delayed_8x5,1001,VerilogEval-Spec-to-RTL,Prob153_gshare,rf_deepgate_hybrid_3d,64,7,0.109375,0.569910883328,1,not_available,0,0.327823880578,0.0625,0.00158481608261,canonical_netlist_dedup
