backend,benchmark,problem,circuit_type,generation,candidate_id,strategy,source,score_from_run,ppa_score,area,power,eff_clk_period,ref_area,ref_power,ref_eff_clk_period,g_A,g_P,g_T,candidate_dir,report_path
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,2,d5c44272-d378-42df-8e61-1a65232c8c5f,M-S,generation_log,0.0610503661511,0.0610503661511,616,0.0859,1.01,980,0.0898,0.82,0.371428571429,0.043429844098,-0.231707317073,,
classic,RTLLM,Prob041_traffic_light,combinational,3,aca80e01-b10d-48a8-b410-c151e8e208ca,M-S,generation_log,0.420875090777,0.631312636166,124,0.000258,0,170,0.0324,0,0.270588235294,0.992037037037,0,,
classic,RTLLM,Prob045_alu,combinational,2,e300de68-6663-44ce-932d-46635ac74ed2,M-E,generation_log,0.416550298968,0.624825448453,1652,0.000898,0,2225,0.114,0,0.257528089888,0.992122807018,0,,
fg_qdm_random_memory_12x3,RTLLM,Prob015_multi_pipe_8bit,sequential,1,2b2f5742-dfe6-4977-8f83-f6a81298e8fb,single_thought_operator,generation_log,-0.0201997285415,-0.0201997285415,701,0.1,1.01,980,0.0898,0.82,0.284693877551,-0.113585746102,-0.231707317073,/workspace/exp/useful_bd_push/front_guarded_memory_controls_20260626/fg_qdm_random_memory_12x3/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit/Gen1/Prob015_multi_pipe_8bit_sample12_single_thought_operator,
fg_qdm_random_memory_12x3,RTLLM,Prob041_traffic_light,combinational,3,cbbc451c-505b-42c5-98fb-7681a8e7b236,single_thought_operator,generation_log,0.40382050351,0.605730755265,132,0.000391,0,170,0.0324,0,0.223529411765,0.987932098765,0,/workspace/exp/useful_bd_push/front_guarded_memory_controls_20260626/fg_qdm_random_memory_12x3/seed_1001/openai_gpt-oss-120b/RTLLM/Prob041_traffic_light/Gen3/Prob041_traffic_light_sample10_single_thought_operator,
fg_qdm_random_memory_12x3,RTLLM,Prob045_alu,combinational,0,4bbec75c-62de-422f-9188-7afbd2a45436,initial,generation_log,0.395249030817,0.592873546225,1792,0.00101,0,2225,0.114,0,0.194606741573,0.991140350877,0,/workspace/exp/useful_bd_push/front_guarded_memory_controls_20260626/fg_qdm_random_memory_12x3/seed_1001/openai_gpt-oss-120b/RTLLM/Prob045_alu/Gen0/Prob045_alu_sample4_initial,
fg_qdm_shape_density_memory_12x3,RTLLM,Prob015_multi_pipe_8bit,sequential,0,e685c8d8-f799-4dad-9797-a10c11a3401f,initial,generation_log,0.0227359029874,0.0227359029874,623,0.0912,1.05,980,0.0898,0.82,0.364285714286,-0.0155902004454,-0.280487804878,/workspace/exp/useful_bd_push/front_guarded_rtl_native_memory_20260626/fg_qdm_shape_density_memory_12x3/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit/Gen0/Prob015_multi_pipe_8bit_sample2_initial,
fg_qdm_shape_density_memory_12x3,RTLLM,Prob041_traffic_light,combinational,3,6d246957-7af9-4d93-afd1-e0225c339110,single_thought_operator,generation_log,0.364970951344,0.547456427015,151,0.000546,0,170,0.0324,0,0.111764705882,0.983148148148,0,/workspace/exp/useful_bd_push/front_guarded_rtl_native_memory_20260626/fg_qdm_shape_density_memory_12x3/seed_1001/openai_gpt-oss-120b/RTLLM/Prob041_traffic_light/Gen3/Prob041_traffic_light_sample4_single_thought_operator,
fg_qdm_shape_density_memory_12x3,RTLLM,Prob045_alu,combinational,2,c7089d3e-81de-42d4-b0f7-bcaa242789c3,single_thought_operator,generation_log,0.401000394244,0.601500591366,1754,0.00099,0,2225,0.114,0,0.211685393258,0.991315789474,0,/workspace/exp/useful_bd_push/front_guarded_rtl_native_memory_20260626/fg_qdm_shape_density_memory_12x3/seed_1001/openai_gpt-oss-120b/RTLLM/Prob045_alu/Gen2/Prob045_alu_sample1_single_thought_operator,
fg_qdm_sr_memory_warmup4_12x3,RTLLM,Prob015_multi_pipe_8bit,sequential,2,e2004c02-45b1-4472-bcb6-8cb22948b5ea,single_thought_operator,generation_log,0.0716892765037,0.0716892765037,600,0.0845,1.01,980,0.0898,0.82,0.387755102041,0.0590200445434,-0.231707317073,/workspace/exp/useful_bd_push/front_guarded_qd_memory_20260626/fg_qdm_sr_memory_warmup4_12x3/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit/Gen2/Prob015_multi_pipe_8bit_sample4_single_thought_operator,
fg_qdm_sr_memory_warmup4_12x3,RTLLM,Prob041_traffic_light,combinational,1,583f2e51-d7b5-47e2-9513-731954446264,single_thought_operator,generation_log,0.406347131445,0.609520697168,131,0.000336,0,170,0.0324,0,0.229411764706,0.98962962963,0,/workspace/exp/useful_bd_push/front_guarded_qd_memory_20260626/fg_qdm_sr_memory_warmup4_12x3/seed_1001/openai_gpt-oss-120b/RTLLM/Prob041_traffic_light/Gen1/Prob041_traffic_light_sample1_single_thought_operator,
fg_qdm_sr_memory_warmup4_12x3,RTLLM,Prob045_alu,combinational,0,4bc7a846-88b5-4998-b61a-6dd759772bc7,initial,generation_log,0.392585255273,0.58887788291,1809,0.00105,0,2225,0.114,0,0.186966292135,0.990789473684,0,/workspace/exp/useful_bd_push/front_guarded_qd_memory_20260626/fg_qdm_sr_memory_warmup4_12x3/seed_1001/openai_gpt-oss-120b/RTLLM/Prob045_alu/Gen0/Prob045_alu_sample3_initial,
