method_key,method_family,seed,benchmark,problem,budget_shape,generated_count,syntax_valid_count,functional_count,synthesis_valid_count,valid_ppa_count,unique_valid_netlist_count,pareto_point_count,global_ppa_hv,hv_auc,passive_archive_coverage,passive_archive_qd_score,passive_archive_qd_auc,passive_archive_coverage_auc,pareto_cell_count,pareto_spread,unique_front_family_count,reference_beating_count,classic_covered,method_covered,reference_ppa_valid,comparison_status,valid_ppa_yield_status,runtime_seconds,notes
classic_revolution_8x5,classic,1001,RTLLM,Prob015_multi_pipe_8bit,8x5,not_available,not_available,not_available,not_available,24,24,8,0,0,not_available,not_available,not_available,not_available,not_available,not_available,not_available,0,yes,yes,yes,headline,yield_warning,not_available,descriptor_projection_missing
deepgate_pooled_pc3_8x5,encoder,1001,RTLLM,Prob015_multi_pipe_8bit,8x5,not_available,not_available,not_available,not_available,7,7,2,0,0,0.09375,0.0231070982361,0.0231070982361,0.071875,2,0.0500742847427,not_available,0,yes,yes,yes,headline,yield_warning,not_available,canonical_netlist_dedup
classic_revolution_8x5,classic,1001,RTLLM,Prob024_fsm,8x5,not_available,not_available,not_available,not_available,10,7,2,0.144729433844,0.140960275258,not_available,not_available,not_available,not_available,not_available,not_available,not_available,3,yes,yes,yes,headline,pass,not_available,descriptor_projection_missing
deepgate_pooled_pc3_8x5,encoder,1001,RTLLM,Prob024_fsm,8x5,not_available,not_available,not_available,not_available,19,11,2,0.145355020332,0.116183140444,0.09375,1.99710144928,1.57664007924,0.080078125,2,0.0475178168533,not_available,4,yes,yes,yes,headline,pass,not_available,canonical_netlist_dedup
classic_revolution_8x5,classic,1001,RTLLM,Prob041_traffic_light,8x5,not_available,not_available,not_available,not_available,20,17,2,0.310100217865,0.247459694989,not_available,not_available,not_available,not_available,not_available,not_available,not_available,12,yes,yes,yes,headline,pass,not_available,descriptor_projection_missing
deepgate_pooled_pc3_8x5,encoder,1001,RTLLM,Prob041_traffic_light,8x5,not_available,not_available,not_available,not_available,19,16,2,0.0996862745098,0.078734604212,0.15625,2.09651839748,1.40940795207,0.1109375,2,0.0225384029812,not_available,9,yes,yes,yes,headline,pass,not_available,canonical_netlist_dedup
classic_revolution_8x5,classic,1001,RTLLM,Prob045_alu,8x5,not_available,not_available,not_available,not_available,36,36,4,0.252356392667,0.224868446679,not_available,not_available,not_available,not_available,not_available,not_available,not_available,34,yes,yes,yes,headline,yield_warning,not_available,descriptor_projection_missing
deepgate_pooled_pc3_8x5,encoder,1001,RTLLM,Prob045_alu,8x5,not_available,not_available,not_available,not_available,17,17,1,0.181316775084,0.181316775084,0.1875,4.5736884815,2.5207130889,0.103125,1,0,not_available,16,yes,yes,yes,headline,yield_warning,not_available,canonical_netlist_dedup
classic_revolution_8x5,classic,1001,RTLLM,Prob049_signal_generator,8x5,not_available,not_available,not_available,not_available,16,6,2,0.0191988404409,0.0166726167764,not_available,not_available,not_available,not_available,not_available,not_available,not_available,4,yes,yes,yes,headline,pass,not_available,descriptor_projection_missing
deepgate_pooled_pc3_8x5,encoder,1001,RTLLM,Prob049_signal_generator,8x5,not_available,not_available,not_available,not_available,41,5,1,0.00683402432913,0.00683402432909,0.078125,1.17387347201,1.05648612481,0.0703125,5,0.0313388767747,not_available,1,yes,yes,yes,headline,pass,not_available,canonical_netlist_dedup
classic_revolution_8x5,classic,1001,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,8x5,not_available,not_available,not_available,not_available,31,8,1,0.398422797927,0.378175751295,not_available,not_available,not_available,not_available,not_available,not_available,not_available,6,yes,yes,yes,headline,pass,not_available,descriptor_projection_missing
deepgate_pooled_pc3_8x5,encoder,1001,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,8x5,not_available,not_available,not_available,not_available,28,8,1,0.398422797927,0.398422797928,0.109375,2.84996200345,2.43828411053,0.0953125,2,0.0869215658066,not_available,4,yes,yes,yes,headline,pass,not_available,canonical_netlist_dedup
classic_revolution_8x5,classic,1001,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,8x5,not_available,not_available,not_available,not_available,41,8,1,0,0,not_available,not_available,not_available,not_available,not_available,not_available,not_available,1,yes,yes,yes,headline,pass,not_available,descriptor_projection_missing
deepgate_pooled_pc3_8x5,encoder,1001,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,8x5,not_available,not_available,not_available,not_available,33,4,1,0,0,0.0625,0.91952167414,0.734989536622,0.0515625,2,0.211910516689,not_available,0,yes,yes,yes,headline,pass,not_available,canonical_netlist_dedup
classic_revolution_8x5,classic,1001,VerilogEval-Spec-to-RTL,Prob153_gshare,8x5,not_available,not_available,not_available,not_available,13,11,6,0.000350589733406,0.000135258004425,not_available,not_available,not_available,not_available,not_available,not_available,not_available,4,yes,yes,yes,headline,pass,not_available,descriptor_projection_missing
deepgate_pooled_pc3_8x5,encoder,1001,VerilogEval-Spec-to-RTL,Prob153_gshare,8x5,not_available,not_available,not_available,not_available,16,11,4,0.000722461561738,0.000217676234469,0.15625,0.499023940255,0.251849134154,0.0828125,4,0.119333304203,not_available,2,yes,yes,yes,headline,pass,not_available,canonical_netlist_dedup
