backend,benchmark,problem,objective_count,candidate_count,pareto_point_count,hypervolume,reference_beating_count,best_area_improvement,best_power_improvement,best_period_improvement,problem_dir
classic_revolution_8x5,RTLLM,Prob001_accu,3,13,4,0.0,0,-0.2670157068062827,0.4444444444444445,0.1551724137931034,/workspace/exp/useful_bd_push/pcn_v3_experiments_20260701/live/rtllm_full_5seed/classic_revolution_8x5/seed_1005/openai_gpt-oss-120b/RTLLM/Prob001_accu
classic_no_cf_8x5,RTLLM,Prob001_accu,3,14,4,0.0,0,-0.2670157068062827,0.45085470085470086,0.1551724137931034,/workspace/exp/useful_bd_push/pcn_v3_experiments_20260701/live/rtllm_full_5seed/classic_no_cf_8x5/seed_1005/openai_gpt-oss-120b/RTLLM/Prob001_accu
pcn_v3_no_cf_memory_8x5,RTLLM,Prob001_accu,3,10,3,0.0,0,-0.2670157068062827,0.420940170940171,0.1551724137931034,/workspace/exp/useful_bd_push/pcn_v3_experiments_20260701/live/rtllm_full_5seed/pcn_v3_no_cf_memory_8x5/seed_1005/openai_gpt-oss-120b/RTLLM/Prob001_accu
pcn_v3_cf_restored_memory_8x5,RTLLM,Prob001_accu,3,9,2,0.0,0,-0.18324607329842932,0.420940170940171,0.1551724137931034,/workspace/exp/useful_bd_push/pcn_v3_experiments_20260701/live/rtllm_full_5seed/pcn_v3_cf_restored_memory_8x5/seed_1005/openai_gpt-oss-120b/RTLLM/Prob001_accu
classic_revolution_8x5,RTLLM,Prob002_adder_16bit,2,12,1,0.2051142342841318,5,0.20652173913043478,0.9931847133757962,0.0,/workspace/exp/useful_bd_push/pcn_v3_experiments_20260701/live/rtllm_full_5seed/classic_revolution_8x5/seed_1005/openai_gpt-oss-120b/RTLLM/Prob002_adder_16bit
classic_no_cf_8x5,RTLLM,Prob002_adder_16bit,2,11,1,0.2051142342841318,2,0.20652173913043478,0.9931847133757962,0.0,/workspace/exp/useful_bd_push/pcn_v3_experiments_20260701/live/rtllm_full_5seed/classic_no_cf_8x5/seed_1005/openai_gpt-oss-120b/RTLLM/Prob002_adder_16bit
pcn_v3_no_cf_memory_8x5,RTLLM,Prob002_adder_16bit,2,8,1,0.06459429520908336,2,0.06521739130434782,0.9904458598726115,0.0,/workspace/exp/useful_bd_push/pcn_v3_experiments_20260701/live/rtllm_full_5seed/pcn_v3_no_cf_memory_8x5/seed_1005/openai_gpt-oss-120b/RTLLM/Prob002_adder_16bit
pcn_v3_cf_restored_memory_8x5,RTLLM,Prob002_adder_16bit,2,12,1,0.2051142342841318,4,0.20652173913043478,0.9931847133757962,0.0,/workspace/exp/useful_bd_push/pcn_v3_experiments_20260701/live/rtllm_full_5seed/pcn_v3_cf_restored_memory_8x5/seed_1005/openai_gpt-oss-120b/RTLLM/Prob002_adder_16bit
classic_revolution_8x5,RTLLM,Prob003_adder_32bit,2,18,1,0.6744597525026996,18,0.6761229314420804,0.9975401234567901,0.0,/workspace/exp/useful_bd_push/pcn_v3_experiments_20260701/live/rtllm_full_5seed/classic_revolution_8x5/seed_1005/openai_gpt-oss-120b/RTLLM/Prob003_adder_32bit
classic_no_cf_8x5,RTLLM,Prob003_adder_32bit,2,21,1,0.6744597525026996,20,0.6761229314420804,0.9975401234567901,0.0,/workspace/exp/useful_bd_push/pcn_v3_experiments_20260701/live/rtllm_full_5seed/classic_no_cf_8x5/seed_1005/openai_gpt-oss-120b/RTLLM/Prob003_adder_32bit
